Frame,YOLO_Detecciones,ORB_Coincidencias,FPS
0,6,0,0
1,5,445,0
2,4,444,0
3,4,431,0
4,4,409,0
5,4,434,0
6,4,446,0
7,4,437,0
8,4,433,0
9,5,432,0
10,5,442,0
11,4,442,0
12,5,439,0
13,4,444,0
14,4,442,0
15,4,448,0
16,4,439,0
17,4,423,0
18,5,424,0
19,5,446,0
20,5,435,0
21,5,435,0
22,5,435,0
23,5,429,0
24,5,436,0
25,5,446,0
26,5,447,0
27,7,432,0
28,5,444,0
29,6,450,0
30,5,443,0
31,6,435,0
32,6,448,0
33,5,450,0
34,5,449,0
35,5,452,0
36,5,451,0
37,5,434,0
38,6,426,0
39,6,441,0
40,4,442,0
41,5,458,0
42,4,457,0
43,4,468,0
44,4,464,0
45,4,465,0
46,4,472,0
47,4,457,0
48,4,454,0
49,4,430,0
50,5,438,0
51,4,440,0
52,4,438,0
53,5,461,0
54,5,450,0
55,5,467,0
56,5,464,0
57,5,447,0
58,5,455,0
59,6,467,0
60,5,468,0
61,5,470,0
62,6,470,0
63,6,457,0
64,6,453,0
65,6,470,0
66,5,469,0
67,6,464,0
68,4,464,0
69,6,460,0
70,6,460,0
71,6,459,0
72,6,460,0
73,7,462,0
74,6,453,0
75,6,450,0
76,6,437,0
77,6,446,0
78,6,447,0
79,6,450,0
80,5,451,0
81,5,459,0
82,5,464,0
83,5,460,0
84,5,459,0
85,5,459,0
86,6,462,0
87,5,462,0
88,5,456,0
89,5,464,0
90,5,455,0
91,5,462,0
92,6,460,0
93,6,458,0
94,6,467,0
95,6,453,0
96,6,446,0
97,6,455,0
98,6,457,0
99,6,459,0
100,6,460,0
101,6,459,0
102,6,459,0
103,6,458,0
104,6,459,0
105,6,456,0
106,6,454,0
107,6,457,0
108,6,456,0
109,6,447,0
110,6,455,0
111,6,457,0
112,6,461,0
113,6,463,0
114,6,468,0
115,6,465,0
116,6,457,0
117,6,453,0
118,6,454,0
119,5,448,0
120,6,450,0
121,6,477,0
122,6,458,0
123,6,462,0
124,6,454,0
125,6,466,0
126,7,466,0
127,6,462,0
128,6,459,0
129,5,466,0
130,5,458,0
131,7,457,0
132,6,449,0
133,7,452,0
134,6,457,0
135,6,453,0
136,6,460,0
137,6,469,0
138,6,469,0
139,6,470,0
140,5,466,0
141,5,456,0
142,5,467,0
143,5,471,0
144,5,468,0
